,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
1579,Lanroy Machine,fr FRA,FW,Angers,fr Ligue 1,19,2005,5.8,1,15,4,26.7,2.6,0.69,0.07,0.25,0,0,,
1580,Shuto Machino,jp JPN,FWMF,Gladbach,de Bundesliga,25,1999,12,3,25,11,44,2.09,0.92,0.12,0.27,0,0,,
1581,Carlos Macià,es ESP,MF,Villarreal,es La Liga,16,2008,0.9,0,1,0,0,1.08,0,0,,0,0,,
1582,James Maddison,eng ENG,FWMF,Tottenham,eng Premier League,28,1996,0.4,0,2,0,0,4.86,0,0,,0,0,,
1583,Brian Madjo,lu LUX,FW,Metz,fr Ligue 1,16,2009,1.7,0,3,1,33.3,1.72,0.57,0,0,0,0,,
1584,Noni Madueke,eng ENG,FWMF,Arsenal,eng Premier League,23,2002,13.5,3,25,9,36,1.86,0.67,0.12,0.33,0,0,,
1585,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,28,1997,29.6,1,7,1,14.3,0.24,0.03,0.14,1,0,0,,
1586,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,27,1997,30.6,3,27,7,25.9,0.88,0.23,0.11,0.43,0,0,,
1587,Soungoutou Magassa,fr FRA,MF,West Ham,eng Premier League,21,2003,10.9,1,7,2,28.6,0.64,0.18,0.14,0.5,0,0,,
1588,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,27,1998,29.9,1,22,5,22.7,0.74,0.17,0.05,0.2,0,0,,
1589,Frank Magri,cm CMR,FWMF,Toulouse,fr Ligue 1,25,1999,13.9,5,33,12,36.4,2.37,0.86,0.15,0.42,0,1,,
1590,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,32,1993,18.4,1,14,4,28.6,0.76,0.22,0.07,0.25,0,0,,
1591,Arne Maier,de GER,MF,Augsburg,de Bundesliga,26,1999,0,0,0,0,,0,0,,,0,0,,
1592,Mike Maignan,fr FRA,GK,Milan,it Serie A,30,1995,36.6,0,0,0,,0,0,,,0,0,,
1593,Linton Maina,de GER,MFFW,Köln,de Bundesliga,26,1999,11.4,2,20,8,40,1.76,0.7,0.1,0.25,0,0,,
1594,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,30,1994,34,2,37,9,24.3,1.09,0.26,0.05,0.22,0,0,,
1595,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,20,2005,18.5,1,13,3,23.1,0.7,0.16,0.08,0.33,0,0,,
1596,Ainsley Maitland-Niles,eng ENG,DFMF,Lyon,fr Ligue 1,27,1997,27.6,1,14,7,50,0.51,0.25,0.07,0.14,0,1,,
1597,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,25,1999,9.6,0,0,0,,0,0,,,0,0,,
1598,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,27,1998,15.2,2,27,6,22.2,1.77,0.39,0.07,0.33,0,0,,
1599,Hamidou Makalou,ml MLI,MF,Brest,fr Ligue 1,19,2006,3.8,0,4,1,25,1.06,0.26,0,0,0,0,,
1600,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,27,1998,20,4,39,14,35.9,1.95,0.7,0.1,0.29,0,0,,
1601,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,23,2001,13.1,0,0,0,,0,0,,,0,0,,
1602,Andrija Maksimović,rs SRB,FW,RB Leipzig,de Bundesliga,18,2007,1,0,2,0,0,1.94,0,0,,0,0,,
1603,Said El Mala,de GER,FWMF,Köln,de Bundesliga,18,2006,21.7,13,74,30,40.5,3.4,1.38,0.16,0.4,1,1,,
1604,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,25,1999,0.2,0,0,0,,0,0,,,0,0,,
1605,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,24,2001,5.7,0,2,0,0,0.35,0,0,,0,0,,
1606,Daniel Maldini,it ITA,FW,Lazio,it Serie A,23,2001,7.6,2,15,5,33.3,1.97,0.66,0.13,0.4,0,0,,
1607,Daniel Maldini,it ITA,MF,Atalanta,it Serie A,23,2001,2.9,0,8,2,25,2.73,0.68,0,0,0,0,,
1608,Youssef Maleh,ma MAR,MF,Cremonese,it Serie A,26,1998,12.2,1,15,3,20,1.23,0.25,0.07,0.33,0,0,,
1609,Youssef Maleh,ma MAR,MF,Lecce,it Serie A,26,1998,5.1,0,7,1,14.3,1.37,0.2,0,0,0,0,,
1610,Donyell Malen,nl NED,FWMF,Aston Villa,eng Premier League,26,1999,7.3,4,27,9,33.3,3.7,1.23,0.15,0.44,0,0,,
1611,Donyell Malen,nl NED,FW,Roma,it Serie A,26,1999,16.3,14,70,31,44.3,4.29,1.9,0.16,0.35,3,4,,
1612,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,32,1993,24.8,6,55,15,27.3,2.21,0.6,0.05,0.2,3,3,,
1613,Lennard Maloney,us USA,DFMF,Mainz 05,de Bundesliga,25,1999,5.4,0,5,1,20,0.93,0.19,0,0,0,0,,
1614,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28,1997,7.8,0,0,0,,0,0,,,0,0,,
1615,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,24,2000,9.6,0,0,0,,0,0,,,0,0,,
1616,Felix Mambimbi,ch SUI,FWMF,Le Havre,fr Ligue 1,24,2001,5.9,1,6,2,33.3,1.02,0.34,0.17,0.5,0,0,,
1617,Aitor Mañas,es ESP,FW,Alavés,es La Liga,22,2003,1.4,0,2,1,50,1.48,0.74,0,0,0,0,,
1618,Gianluca Mancini,it ITA,DF,Roma,it Serie A,29,1996,34,4,20,8,40,0.59,0.24,0.2,0.5,0,0,,
1619,Reinildo Mandava,mz MOZ,DF,Sunderland,eng Premier League,31,1994,21.8,0,4,0,0,0.18,0,0,,0,0,,
1620,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,33,1991,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,0,0,,
1621,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,28,1997,26.9,7,64,18,28.1,2.38,0.67,0.09,0.33,1,1,,
1622,Filippo Mane,it ITA,DF,Dortmund,de Bundesliga,20,2005,1.5,0,0,0,,0,0,,,0,0,,
1623,Mateus Mane,pt POR,MF,Wolves,eng Premier League,17,2007,19.9,3,41,17,41.5,2.06,0.85,0.07,0.18,0,0,,
1624,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,27,1998,4.6,0,4,1,25,0.87,0.22,0,0,0,0,,
1625,Bendito Mantato,eng ENG,MF,Manchester Utd,eng Premier League,17,2008,0.2,0,0,0,,0,0,,,0,0,,
1626,Brad Mantsounga,cg CGO,DF,Nice,fr Ligue 1,17,2007,1,0,0,0,,0,0,,,0,0,,
1627,Johan Manzambi,ch SUI,MF,Freiburg,de Bundesliga,19,2005,23.1,5,51,13,25.5,2.21,0.56,0.1,0.38,0,0,,
1628,Sekou Mara,fr FRA,FW,Auxerre,fr Ligue 1,23,2002,13.6,3,33,12,36.4,2.42,0.88,0.09,0.25,0,0,,
1629,Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,22,2002,28.9,0,5,2,40,0.17,0.07,0,0,0,0,,
1630,Marcão,br BRA,DF,Sevilla,es La Liga,29,1996,10.4,1,10,2,20,0.96,0.19,0.1,0.5,0,0,,
1631,Solly March,eng ENG,MF,Brighton,eng Premier League,31,1994,0.5,0,1,1,100,2.2,2.2,0,0,0,0,,
1632,Vincent Marchetti,fr FRA,MF,Paris FC,fr Ligue 1,28,1997,9.2,2,24,7,29.2,2.62,0.76,0.08,0.29,0,0,,
1633,Pablo Marí,es ESP,DF,Fiorentina,it Serie A,31,1993,9,0,2,0,0,0.22,0,0,,0,0,,
1634,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,30,1995,13.1,0,13,3,23.1,0.99,0.23,0,0,0,0,,
1635,Mariano,do DOM,FW,Alavés,es La Liga,31,1993,3.2,0,6,3,50,1.87,0.94,0,0,0,0,,
1636,Luca Marianucci,it ITA,DF,Torino,it Serie A,21,2004,6.4,0,1,0,0,0.16,0,0,,0,0,,
1637,Luca Marianucci,it ITA,DF,Napoli,it Serie A,21,2004,1.3,0,1,0,0,0.76,0,0,,0,0,,
1638,Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,es La Liga,20,2005,0,0,0,0,,0,0,,,0,0,,
1639,Marius Marin,ro ROU,MF,Pisa,it Serie A,26,1998,14.2,0,3,0,0,0.21,0,0,,0,0,,
1640,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,22,2003,16.7,0,13,4,30.8,0.78,0.24,0,0,0,0,,
1641,Rafa Marín,es ESP,DF,Villarreal,es La Liga,23,2002,22,1,5,1,20,0.23,0.05,0.2,1,0,0,,
1642,Renato Marin,it ITA,GK,PSG,fr Ligue 1,19,2006,2,0,0,0,,0,0,,,0,0,,
1643,João Mário Lopes,pt POR,DFMF,Bologna,it Serie A,25,2000,8.2,1,4,2,50,0.49,0.24,0.25,0.5,0,0,,
1644,João Mário Lopes,pt POR,MF,Juventus,it Serie A,25,2000,2.9,0,3,0,0,1.05,0,0,,0,0,,
1645,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,31,1994,23.8,2,18,8,44.4,0.76,0.34,0.11,0.25,0,0,,
1646,Omar Marmoush,eg EGY,FWMF,Manchester City,eng Premier League,26,1999,7.8,3,30,9,30,3.86,1.16,0.1,0.33,0,0,,
1647,Tomas Marques,es ESP,MF,Barcelona,es La Liga,18,2006,0.1,0,0,0,,0,0,,,0,0,,
1648,Marquinhos,br BRA,DF,PSG,fr Ligue 1,31,1994,11.7,0,3,0,0,0.26,0,0,,0,0,,
1649,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23,2001,1,0,0,0,,0,0,,,0,0,,
1650,Callum Marshall,nir NIR,FW,West Ham,eng Premier League,20,2004,0.7,0,1,0,0,1.5,0,0,,0,0,,
1651,Eric Martel,de GER,MFDF,Köln,de Bundesliga,23,2002,28.4,2,23,4,17.4,0.81,0.14,0.09,0.5,0,0,,
1652,Aarón Martín,es ESP,MFDF,Genoa,it Serie A,28,1997,24,1,11,4,36.4,0.46,0.17,0.09,0.25,0,1,,
1653,Carlos Martín,es ESP,MFFW,Rayo Vallecano,es La Liga,23,2002,5,0,9,4,44.4,1.8,0.8,0,0,0,0,,
1654,Gerard Martín,es ESP,DF,Barcelona,es La Liga,23,2002,23.5,0,7,4,57.1,0.3,0.17,0,0,0,0,,
1655,Iván Martín,es ESP,MF,Girona,es La Liga,26,1999,28.1,0,13,5,38.5,0.46,0.18,0,0,0,0,,
1656,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,19,2006,25,2,15,5,33.3,0.6,0.2,0.13,0.4,0,0,,
1657,Mario Martín,es ESP,MFFW,Getafe,es La Liga,21,2004,23.6,2,26,6,23.1,1.1,0.25,0.08,0.33,0,0,,
1658,Gabriel Martinelli,br BRA,FWMF,Arsenal,eng Premier League,24,2001,12,1,29,13,44.8,2.41,1.08,0.03,0.08,0,0,,
1659,Arnau Martinez,es ESP,DFMF,Girona,es La Liga,22,2003,29.6,2,19,4,21.1,0.64,0.14,0.11,0.5,0,0,,
1660,Daniel Martinez,es ESP,DF,Atlético Madrid,es La Liga,21,2004,1,0,0,0,,0,0,,,0,0,,
1661,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32,1992,31.5,0,0,0,,0,0,,,0,0,,
1662,Joaquín Martínez Gauna,es ESP,MFDF,Sevilla,es La Liga,22,2003,15.6,2,17,8,47.1,1.09,0.51,0.12,0.25,0,0,,
1663,Josep Martinez,es ESP,GK,Inter,it Serie A,27,1998,5,0,0,0,,0,0,,,0,0,,
1664,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,27,1997,24,17,92,39,42.4,3.84,1.63,0.18,0.44,0,0,,
1665,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,27,1998,13.7,0,5,0,0,0.36,0,0,,0,0,,
1666,Pablo Martínez,es ESP,MF,Levante,es La Liga,27,1998,20.6,1,28,4,14.3,1.36,0.19,0.04,0.25,0,0,,
1667,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,22,2002,1.1,0,0,0,,0,0,,,0,0,,
1668,Toni Martínez,es ESP,FW,Alavés,es La Liga,28,1997,30.2,14,93,36,38.7,3.08,1.19,0.14,0.36,1,1,,
1669,Adam Marušić,me MNE,DF,Lazio,it Serie A,32,1992,30.9,1,16,7,43.8,0.52,0.23,0.06,0.14,0,0,,
1670,Omar Mascarell,gq EQG,MFDF,Mallorca,es La Liga,32,1993,24.9,2,7,3,42.9,0.28,0.12,0.29,0.67,0,0,,
1671,Adam Masina,ma MAR,DF,Torino,it Serie A,31,1994,2.6,0,0,0,,0,0,,,0,0,,
1672,Patrizio Masini,it ITA,MF,Genoa,it Serie A,24,2001,15.7,0,18,5,27.8,1.15,0.32,0,0,0,0,,
1673,Han-Noah Massengo,fr FRA,MF,Augsburg,de Bundesliga,24,2001,27,2,20,6,30,0.74,0.22,0.1,0.33,0,0,,
1674,Franco Mastantuono,ar ARG,MFFW,Real Madrid,es La Liga,17,2007,11.5,1,30,7,23.3,2.6,0.61,0.03,0.14,0,0,,
1675,Arthur Masuaku,cd COD,DF,Sunderland,eng Premier League,31,1993,1.4,0,1,0,0,0.71,0,0,,0,0,,
1676,Arthur Masuaku,cd COD,DFMF,Lens,fr Ligue 1,31,1993,2.5,0,1,1,100,0.4,0.4,0,0,0,0,,
1677,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,32,1992,31.5,0,5,0,0,0.16,0,0,,0,0,,
1678,Igor Matanović,hr CRO,FW,Freiburg,de Bundesliga,22,2003,17.5,11,51,19,37.3,2.92,1.09,0.2,0.53,1,2,,
1679,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,22,2002,15.5,2,17,6,35.3,1.09,0.39,0.12,0.33,0,0,,
1680,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,28,1997,24.6,12,63,32,50.8,2.56,1.3,0.13,0.25,4,4,,
1681,Nemanja Matić,rs SRB,MF,Sassuolo,it Serie A,36,1988,29.6,1,11,4,36.4,0.37,0.14,0.09,0.25,0,0,,
1682,Rudy Matondo,fr FRA,MF,Paris FC,fr Ligue 1,17,2008,8.3,2,9,5,55.6,1.09,0.61,0.22,0.4,0,0,,
1683,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,17,2008,6.8,0,4,0,0,0.59,0,0,,0,0,,
1684,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,23,2002,16.5,1,7,1,14.3,0.42,0.06,0.14,1,0,0,,
1685,Jean Mattéo Bahoya,fr FRA,MFFW,Frankfurt,de Bundesliga,20,2005,14.8,3,29,9,31,1.96,0.61,0.1,0.33,0,0,,
1686,Alan Matturro,uy URU,DF,Levante,es La Liga,20,2004,10.5,1,8,1,12.5,0.76,0.1,0.13,1,0,0,,
1687,Neal Maupay,fr FRA,FWMF,Marseille,fr Ligue 1,28,1996,0,0,0,0,,0,0,,,0,0,,
1688,Neal Maupay,fr FRA,FW,Sevilla,es La Liga,28,1996,9.6,2,17,7,41.2,1.77,0.73,0.12,0.29,0,0,,
1689,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,27,1997,28.2,3,23,8,34.8,0.82,0.28,0.13,0.38,0,0,,
1690,Christian Mawissa,fr FRA,DFMF,Monaco,fr Ligue 1,20,2005,13.2,0,2,1,50,0.15,0.08,0,0,0,0,,
1691,Eliezer Mayenda,es ESP,FWMF,Sunderland,eng Premier League,20,2005,8.4,2,13,6,46.2,1.54,0.71,0.15,0.33,0,0,,
1692,Ezra Mayers,bb BRB,DF,West Ham,eng Premier League,18,2007,1.3,0,1,0,0,0.77,0,0,,0,0,,
1693,Borja Mayoral,es ESP,FW,Getafe,es La Liga,28,1997,11.8,4,15,7,46.7,1.28,0.6,0.27,0.57,0,1,,
1694,Senny Mayulu,fr FRA,MFFW,PSG,fr Ligue 1,19,2006,18.6,4,35,11,31.4,1.88,0.59,0.11,0.36,0,0,,
1695,Ibrahim Maza,dz ALG,MF,Leverkusen,de Bundesliga,19,2005,20.5,3,54,17,31.5,2.63,0.83,0.06,0.18,0,0,,
1696,Noussair Mazraoui,ma MAR,DFMF,Manchester Utd,eng Premier League,27,1997,10.9,0,5,0,0,0.46,0,0,,0,0,,
1697,Luca Mazzitelli,it ITA,MF,Cagliari,it Serie A,29,1995,8.5,2,15,5,33.3,1.76,0.59,0.13,0.4,0,0,,
1698,Pasquale Mazzocchi,it ITA,MF,Napoli,it Serie A,30,1995,3.4,0,2,1,50,0.58,0.29,0,0,0,0,,
1699,Nathan Mbala,,MFFW,Metz,fr Ligue 1,17,2008,4.9,2,15,4,26.7,3.06,0.82,0.13,0.5,0,0,,
1700,Samuel Mbangula,be BEL,MFFW,Werder Bremen,de Bundesliga,21,2004,13,3,17,8,47.1,1.31,0.61,0.18,0.38,0,0,,
1701,Ethan Mbappé,fr FRA,MFFW,Lille,fr Ligue 1,18,2006,6.3,3,14,7,50,2.22,1.11,0.21,0.43,0,0,,
1702,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,26,1998,28.9,25,146,63,43.2,5.06,2.18,0.12,0.27,8,9,,
1703,Ibrahim Mbaye,sn SEN,FWMF,PSG,fr Ligue 1,17,2008,11.2,3,24,10,41.7,2.15,0.89,0.13,0.3,0,0,,
1704,Malick Mbaye,sn SEN,MF,Metz,fr Ligue 1,21,2004,3.3,0,2,1,50,0.6,0.3,0,0,0,0,,
1705,Chancel Mbemba,cd COD,DF,Lille,fr Ligue 1,30,1994,10.6,0,7,3,42.9,0.66,0.28,0,0,0,0,,
1706,Bryan Mbeumo,cm CMR,MFFW,Manchester Utd,eng Premier League,25,1999,29,11,73,32,43.8,2.52,1.1,0.15,0.34,0,0,,
1707,Michel Mboula,ga GAB,DFMF,Metz,fr Ligue 1,22,2003,8.3,0,2,1,50,0.24,0.12,0,0,0,0,,
1708,Pathé Mboup,sn SEN,MF,Brest,fr Ligue 1,21,2003,11.7,1,23,10,43.5,1.96,0.85,0.04,0.1,0,0,,
1709,Moustapha Mbow,sn SEN,DF,Paris FC,fr Ligue 1,25,2000,30.2,0,10,3,30,0.33,0.1,0,0,0,0,,
1710,James Mcatee,eng ENG,MF,Nottingham,eng Premier League,22,2002,3.3,0,4,0,0,1.21,0,0,,0,0,,
1711,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,30,1994,23.7,5,28,12,42.9,1.18,0.51,0.18,0.42,0,0,,
1712,Weston McKennie,us USA,MF,Juventus,it Serie A,26,1998,31.5,5,43,16,37.2,1.37,0.51,0.12,0.31,0,0,,
1713,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,26,1999,26.7,0,6,1,16.7,0.22,0.04,0,0,0,0,,
1714,Dwight McNeil,eng ENG,MF,Everton,eng Premier League,25,1999,13,0,24,5,20.8,1.85,0.39,0,0,0,0,,
1715,Scott McTominay,sct SCO,MF,Napoli,it Serie A,28,1996,31,10,101,34,33.7,3.26,1.1,0.1,0.29,0,1,,
1716,Facundo Medina,ar ARG,DF,Marseille,fr Ligue 1,26,1999,15.2,0,4,1,25,0.26,0.07,0,0,0,0,,
1717,Jonas Meffert,de GER,MF,Hamburger SV,de Bundesliga,30,1994,1.6,0,0,0,,0,0,,,0,0,,
1718,Henrik Meister,dk DEN,FW,Pisa,it Serie A,21,2003,16.8,2,20,8,40,1.19,0.48,0.1,0.25,0,0,,
1719,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,23,2001,22,0,8,1,12.5,0.36,0.05,0,0,0,0,,
1720,Kader Meïté,fr FRA,FW,Rennes,fr Ligue 1,17,2007,5.9,3,22,7,31.8,3.7,1.18,0.14,0.43,0,0,,
1721,Hannibal Mejbri,tn TUN,MF,Burnley,eng Premier League,22,2003,13.7,1,19,5,26.3,1.39,0.37,0.05,0.2,0,0,,
1722,Cléo Melieres,fr FRA,FW,Metz,fr Ligue 1,20,2005,0.3,0,0,0,,0,0,,,0,0,,
1723,Nuno Mendes,pt POR,DF,PSG,fr Ligue 1,23,2002,14,4,30,15,50,2.15,1.07,0.1,0.2,1,1,,
1724,Brais Méndez,es ESP,MFFW,Real Sociedad,es La Liga,28,1997,18.4,6,36,16,44.4,1.95,0.87,0.14,0.31,1,2,,
1725,Rodrigo Mendoza,es ESP,MFFW,Elche,es La Liga,20,2005,8.8,1,11,2,18.2,1.25,0.23,0.09,0.5,0,0,,
1726,Rodrigo Mendoza,es ESP,MF,Atlético Madrid,es La Liga,20,2005,4.8,0,6,2,33.3,1.24,0.41,0,0,0,0,,
1727,Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,21,2004,23.3,1,17,7,41.2,0.73,0.3,0.06,0.14,0,0,,
1728,Batista Mendy,fr FRA,MF,Sevilla,es La Liga,25,2000,18,1,17,5,29.4,0.95,0.28,0.06,0.2,0,0,,
1729,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,30,1995,2.3,0,0,0,,0,0,,,0,0,,
1730,Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,24,2001,1.5,0,0,0,,0,0,,,0,0,,
1731,Nobel Mendy,sn SEN,DF,Rayo Vallecano,es La Liga,20,2004,20,2,11,3,27.3,0.55,0.15,0.18,0.67,0,0,,
1732,Paul Mendy,sn SEN,FW,Cagliari,it Serie A,18,2007,3.7,2,15,3,20,4.03,0.81,0.13,0.67,0,0,,
1733,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,27,1998,25.9,0,1,0,0,0.04,0,0,,0,0,,
1734,Khalis Merah,fr FRA,MFFW,Lyon,fr Ligue 1,18,2007,12.6,0,6,3,50,0.48,0.24,0,0,0,0,,
1735,Alex Meret,it ITA,GK,Napoli,it Serie A,28,1997,10.9,0,0,0,,0,0,,,0,0,,
1736,Mikel Merino,es ESP,MFFW,Arsenal,eng Premier League,29,1996,11.5,4,22,8,36.4,1.91,0.69,0.18,0.5,0,0,,
1737,Quentin Merlin,fr FRA,DFMF,Rennes,fr Ligue 1,23,2002,28.1,1,26,7,26.9,0.92,0.25,0.04,0.14,0,0,,
1738,Rafik Messali,fr FRA,MF,Toulouse,fr Ligue 1,22,2003,5.6,0,0,0,,0,0,,,0,0,,
1739,Junior Messias,br BRA,MF,Genoa,it Serie A,34,1991,7.6,3,19,7,36.8,2.5,0.92,0.11,0.29,1,1,,
1740,Alejandro Mestanza,es ESP,MF,Getafe,es La Liga,20,2004,0.8,0,1,0,0,1.27,0,0,,0,0,,
1741,Connor Metcalfe,au AUS,MFFW,St Pauli,de Bundesliga,25,1999,6.6,0,16,4,25,2.43,0.61,0,0,0,0,,
1742,Dayann Methalie,fr FRA,MF,Toulouse,fr Ligue 1,19,2006,20.8,2,15,7,46.7,0.72,0.34,0.13,0.29,0,0,,
1743,Karol Mets,ee EST,DF,St Pauli,de Bundesliga,32,1993,21.5,1,7,1,14.3,0.33,0.05,0.14,1,0,0,,
1744,Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,33,1991,21.2,2,19,5,26.3,0.9,0.24,0.11,0.4,0,0,,
1745,Shumaira Mheuka,eng ENG,FW,Chelsea,eng Premier League,17,2007,0,0,0,0,,0,0,,,0,0,,
1746,Lucas Michal,fr FRA,MF,Metz,fr Ligue 1,20,2005,2.4,0,7,2,28.6,2.97,0.85,0,0,0,0,,
1747,Lucas Michal,fr FRA,FW,Monaco,fr Ligue 1,20,2005,0.7,0,1,0,0,1.53,0,0,,0,0,,
1748,Georges Mikautadze,ge GEO,FW,Villarreal,es La Liga,24,2000,23.4,13,65,32,49.2,2.77,1.37,0.2,0.41,0,0,,
1749,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,24,2000,2,1,10,4,40,5.03,2.01,0.1,0.25,0,0,,
1750,Wisdom Mike,de GER,FW,Bayern Munich,de Bundesliga,16,2008,0.3,0,2,1,50,6,3,0,0,0,0,,
1751,William Mikelbrencis,fr FRA,MFDF,Hamburger SV,de Bundesliga,21,2004,15.2,0,12,6,50,0.79,0.39,0,0,0,0,,
1752,Daniel Mikołajewski,pl POL,FW,Parma,it Serie A,19,2006,0.8,0,1,0,0,1.29,0,0,,0,0,,
1753,Antoni Milambo,nl NED,MF,Brentford,eng Premier League,20,2005,0.5,0,0,0,,0,0,,,0,0,,
1754,Nikola Milenković,rs SRB,DF,Nottingham,eng Premier League,27,1997,37.5,0,16,1,6.3,0.43,0.03,0,0,0,0,,
1755,Lewis Miley,eng ENG,MFDF,Newcastle,eng Premier League,19,2006,16.6,1,12,4,33.3,0.72,0.24,0.08,0.25,0,0,,
1756,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,31,1994,0.4,0,2,2,100,5,5,0,0,0,0,,
1757,Vanja Milinković-Savić,rs SRB,GK,Napoli,it Serie A,28,1997,27,0,0,0,,0,0,,,0,0,,
1758,Éder Militão,br BRA,DF,Real Madrid,es La Liga,27,1998,12.7,2,21,9,42.9,1.66,0.71,0.1,0.22,0,0,,
1759,Luis Milla,es ESP,MF,Getafe,es La Liga,30,1994,36.3,1,27,4,14.8,0.74,0.11,0.04,0.25,0,0,,
1760,Pere Milla,es ESP,MFFW,Espanyol,es La Liga,32,1992,21.9,7,59,21,35.6,2.69,0.96,0.12,0.33,0,0,,
1761,Lennon Miller,sct SCO,MF,Udinese,it Serie A,18,2006,11.1,0,9,1,11.1,0.81,0.09,0,0,0,0,,
1762,James Milner,eng ENG,MF,Brighton,eng Premier League,39,1986,8.7,1,8,2,25,0.92,0.23,0,0,1,1,,
1763,Veljko Milosavljević,rs SRB,DF,Bournemouth,eng Premier League,18,2007,4.1,0,1,0,0,0.24,0,0,,0,0,,
1764,Jovan Milošević,rs SRB,FW,Werder Bremen,de Bundesliga,20,2005,5.4,3,12,4,33.3,2.21,0.74,0.25,0.75,0,0,,
1765,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,28,1996,17.8,1,5,3,60,0.28,0.17,0.2,0.33,0,0,,
1766,Yerry Mina,co COL,DF,Cagliari,it Serie A,30,1994,23.9,2,10,3,30,0.42,0.13,0.2,0.67,0,0,,
1767,Takumi Minamino,jp JPN,MF,Monaco,fr Ligue 1,30,1995,10.5,3,21,7,33.3,2,0.67,0.14,0.43,0,0,,
1768,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,32,1993,14.7,0,9,1,11.1,0.61,0.07,0,0,0,0,,
1769,Óscar Mingueza,es ESP,MF,Celta Vigo,es La Liga,26,1999,21.9,1,14,5,35.7,0.64,0.23,0.07,0.2,0,0,,
1770,Yankuba Minteh,gm GAM,MF,Brighton,eng Premier League,21,2004,26.6,3,41,11,26.8,1.54,0.41,0.07,0.27,0,0,,
1771,Bojan Miovski,mk MKD,FW,Girona,es La Liga,26,1999,0.5,0,0,0,,0,0,,,0,0,,
1772,Rafa Mir,es ESP,FWMF,Elche,es La Liga,28,1997,20,8,69,36,52.2,3.44,1.8,0.1,0.19,1,2,,
1773,Juan Miranda,es ESP,DF,Bologna,it Serie A,25,2000,28.6,1,13,5,38.5,0.45,0.17,0.08,0.2,0,0,,
1774,Fabio Miretti,it ITA,MF,Juventus,it Serie A,21,2003,6.9,1,18,5,27.8,2.63,0.73,0.06,0.2,0,0,,
1775,Tyrick Mitchell,eng ENG,MF,Crystal Palace,eng Premier League,25,1999,36.1,1,19,7,36.8,0.53,0.19,0.05,0.14,0,0,,
